season,round,circuit_id,weather_fp1_period_temperature_avg,weather_fp1_period_temperature_min,weather_fp1_period_temperature_max,weather_fp1_period_humidity_avg,weather_fp1_period_precipitation_total,weather_fp1_period_rain_hours,weather_fp1_period_rain_flag,weather_fp1_period_wind_speed_avg,weather_fp1_period_wind_speed_max,weather_fp1_period_cloud_cover_avg
2016,3,shanghai,18.445833333333336,14.6,21.9,83.625,9.6,7,1,21.38333333333333,29.9,79.04166666666667
2016,4,sochi,13.779166666666669,10.6,16.6,86.29166666666667,0.0,0,0,5.258333333333334,8.9,82.625
2016,5,catalunya,15.558333333333332,10.7,19.8,84.45833333333333,0.1,1,1,7.095833333333334,12.7,57.41666666666666
2016,6,monaco,19.47083333333333,14.9,22.9,71.70833333333333,0.0,0,0,5.6875,10.4,38.25
2016,7,villeneuve,13.220833333333331,10.2,15.6,80.29166666666667,0.6000000000000001,2,1,8.979166666666666,12.8,84.83333333333333
2016,8,baku,24.474999999999994,23.0,25.9,70.25,0.0,0,0,34.99166666666667,38.6,61.083333333333336
2016,9,red_bull_ring,20.1375,13.4,26.4,83.5,5.1,9,1,5.479166666666667,10.9,59.083333333333336
2016,10,silverstone,16.85833333333333,13.1,20.5,85.375,3.3999999999999995,4,1,21.29583333333333,30.1,87.58333333333333
2016,11,hungaroring,22.9375,17.8,27.1,82.125,1.9,7,1,4.458333333333333,6.6,55.66666666666666
2016,12,hockenheimring,22.104166666666668,17.9,26.0,70.125,0.2,1,1,8.762500000000001,13.6,43.625
2016,13,spa,23.916666666666668,18.2,30.1,76.41666666666667,1.4,4,1,10.641666666666667,14.2,33.791666666666664
2016,14,monza,23.3125,18.4,27.9,76.16666666666667,0.6,2,1,3.7916666666666665,6.3,65.5
2016,15,marina_bay,27.329166666666666,24.8,29.0,84.25,18.0,7,1,7.412499999999999,11.8,97.0
2016,16,sepang,27.47083333333333,24.1,31.8,78.29166666666667,0.2,2,1,7.204166666666667,12.3,90.625
2016,17,suzuka,23.383333333333336,20.6,26.6,89.375,5.6,14,1,13.470833333333331,21.3,93.45833333333331
2016,18,americas,18.34166666666667,11.2,25.7,44.125,0.0,0,0,7.783333333333334,12.4,12.041666666666666
2016,19,rodriguez,12.391666666666666,8.9,18.4,78.29166666666667,0.4,3,1,8.558333333333334,18.0,78.16666666666667
2016,20,interlagos,17.629166666666666,15.5,19.3,95.125,16.4,24,1,16.154166666666665,21.0,100.0
2016,21,yas_marina,24.76666666666667,19.5,29.5,55.208333333333336,0.0,0,0,16.895833333333332,24.3,18.75
2017,1,albert_park,20.83333333333333,15.7,26.8,77.83333333333333,2.3,7,1,9.233333333333334,15.9,75.04166666666667
2017,2,shanghai,15.6625,11.5,22.3,84.91666666666667,1.4,4,1,10.270833333333334,16.9,84.54166666666667
2017,3,bahrain,29.78333333333333,23.0,40.4,45.083333333333336,0.0,0,0,12.6,26.6,51.16666666666666
2017,4,sochi,16.170833333333334,10.3,21.2,67.45833333333333,0.0,0,0,4.941666666666666,8.6,4.708333333333333
2017,5,catalunya,19.5625,13.8,25.4,53.04166666666666,0.5,1,1,13.266666666666667,20.5,18.45833333333333
2017,6,monaco,23.075,18.4,26.3,45.79166666666666,0.0,0,0,6.075,12.1,5.583333333333333
2017,7,villeneuve,18.441666666666663,11.4,24.5,61.91666666666666,0.2,1,1,8.05,15.5,57.66666666666666
2017,8,baku,22.683333333333337,19.8,25.5,78.83333333333333,0.1,1,1,14.4625,23.8,16.75
2017,9,red_bull_ring,21.820833333333336,14.7,28.5,65.41666666666667,0.6000000000000001,3,1,6.779166666666666,13.0,39.333333333333336
2017,10,silverstone,16.425,13.0,21.4,80.875,1.3,4,1,16.875,24.9,87.79166666666667
2017,11,hungaroring,21.929166666666664,16.5,26.5,58.458333333333336,0.0,0,0,9.870833333333332,15.5,14.083333333333334
2017,12,spa,18.9375,16.0,22.6,87.875,4.4,11,1,8.729166666666666,15.5,70.625
2017,13,monza,15.933333333333332,14.6,17.8,80.66666666666667,22.0,17,1,10.108333333333334,20.4,89.0
2017,14,marina_bay,27.15,25.0,28.9,84.25,7.800000000000001,10,1,12.179166666666667,17.2,89.45833333333333
2017,15,sepang,26.258333333333336,23.7,30.3,86.75,1.4,4,1,7.3,12.6,89.41666666666667
2017,16,suzuka,19.1125,15.4,21.9,89.0,1.5000000000000002,3,1,5.995833333333333,13.3,65.45833333333333
2017,17,americas,25.166666666666668,21.6,31.7,80.125,2.7,5,1,18.541666666666668,26.8,60.79166666666666
2017,18,rodriguez,15.5625,10.8,22.2,63.375,0.3,3,1,8.291666666666666,13.9,44.833333333333336
2017,19,interlagos,18.004166666666666,13.8,21.1,88.20833333333333,1.3,9,1,12.954166666666666,22.6,78.375
2017,20,yas_marina,24.90833333333333,23.1,26.6,49.333333333333336,0.0,0,0,22.879166666666663,28.6,9.541666666666666
2018,1,albert_park,20.029166666666665,18.2,22.5,75.75,20.6,15,1,14.433333333333332,23.9,86.75
2018,2,bahrain,26.15,22.4,31.7,51.25,2.5,5,1,12.229166666666666,22.7,80.75
2018,3,shanghai,13.904166666666669,11.4,17.8,81.58333333333333,13.4,8,1,16.891666666666666,24.9,98.20833333333331
2018,4,baku,18.96666666666667,14.0,24.1,66.875,0.1,1,1,17.712500000000002,33.0,62.29166666666666
2018,5,catalunya,15.512499999999998,12.2,19.1,86.375,2.9000000000000004,11,1,9.520833333333334,18.0,56.625
2018,6,monaco,22.558333333333334,17.5,26.5,68.875,0.0,0,0,4.15,7.9,37.458333333333336
2018,7,villeneuve,17.129166666666666,11.1,22.0,52.458333333333336,0.0,0,0,12.558333333333332,21.4,34.958333333333336
2018,8,ricard,19.95,16.5,23.6,81.04166666666667,10.5,12,1,7.395833333333333,16.6,34.25
2018,9,red_bull_ring,17.775000000000002,12.6,23.2,73.45833333333333,1.2,5,1,7.025000000000001,12.3,32.208333333333336
2018,10,silverstone,22.29583333333333,16.6,27.3,54.458333333333336,0.0,0,0,11.104166666666666,15.1,32.916666666666664
2018,11,hockenheimring,21.09166666666667,19.2,23.3,78.125,4.800000000000001,16,1,9.6375,15.3,97.79166666666669
2018,12,hungaroring,24.754166666666663,20.0,30.4,71.95833333333333,1.3,2,1,5.9750000000000005,9.9,68.20833333333333
2018,13,spa,11.625,9.2,14.2,78.33333333333333,5.6,16,1,18.008333333333333,25.1,68.5
2018,14,monza,17.725,15.9,21.2,85.125,29.1,16,1,7.524999999999999,15.5,93.75
2018,15,marina_bay,27.625,26.0,29.6,78.91666666666667,2.2,7,1,12.570833333333333,20.8,93.16666666666669
2018,16,sochi,18.629166666666663,16.3,21.0,78.25,1.4,8,1,3.641666666666667,7.1,52.333333333333336
2018,17,suzuka,24.179166666666664,22.6,26.3,91.33333333333331,10.1,16,1,23.6,28.6,60.54166666666666
2018,18,americas,17.591666666666665,15.9,19.7,85.125,0.7,5,1,17.8375,24.4,85.0
2018,19,rodriguez,15.541666666666666,12.6,18.9,83.125,14.2,12,1,7.345833333333334,13.5,71.54166666666667
2018,20,interlagos,19.38333333333333,16.5,23.8,85.54166666666667,1.8,8,1,10.033333333333331,13.9,62.708333333333336
2018,21,yas_marina,25.2625,19.5,31.6,61.04166666666666,0.0,0,0,13.262499999999998,20.0,44.66666666666666
2019,1,albert_park,18.95833333333333,11.2,27.1,71.54166666666667,0.0,0,0,9.9375,19.6,37.29166666666666
2019,2,bahrain,22.20416666666667,17.4,27.0,55.208333333333336,3.1000000000000005,6,1,15.704166666666666,26.0,72.66666666666667
2019,3,shanghai,13.887499999999998,8.2,19.7,73.20833333333333,0.0,0,0,12.470833333333331,18.6,41.29166666666666
2019,4,baku,13.804166666666664,10.9,16.7,77.54166666666667,0.0,0,0,16.879166666666666,23.4,0.0
2019,5,catalunya,17.0,13.5,20.6,73.29166666666667,0.3,2,1,8.633333333333333,18.0,50.333333333333336
2019,6,monaco,17.054166666666664,14.5,20.1,86.58333333333333,0.0,0,0,5.270833333333333,11.8,88.08333333333333
2019,7,villeneuve,15.895833333333334,9.5,21.4,56.708333333333336,0.0,0,0,8.1,11.8,24.791666666666668
2019,8,ricard,21.662500000000005,16.8,25.6,59.91666666666666,1.4,5,1,9.191666666666666,13.9,30.20833333333333
2019,9,red_bull_ring,19.779166666666665,12.8,27.0,66.04166666666667,0.0,0,0,4.658333333333334,10.9,0.5833333333333334
2019,10,silverstone,16.804166666666664,12.6,20.6,77.83333333333333,2.0,13,1,12.691666666666668,20.4,71.08333333333333
2019,11,hockenheimring,24.73333333333333,21.4,28.4,66.5,0.7000000000000001,5,1,9.541666666666666,21.0,89.83333333333333
2019,12,hungaroring,20.441666666666663,17.2,25.0,75.04166666666667,3.0000000000000004,5,1,10.2625,16.3,71.625
2019,13,spa,22.133333333333336,14.6,29.1,54.125,0.1,1,1,13.708333333333334,20.5,24.666666666666668
2019,14,monza,17.704166666666666,13.2,22.4,78.70833333333333,0.5,1,1,5.645833333333333,13.1,45.583333333333336
2019,15,marina_bay,29.004166666666663,26.3,32.4,70.95833333333333,0.0,0,0,17.358333333333334,20.6,50.333333333333336
2019,16,sochi,18.379166666666663,15.2,20.8,83.66666666666667,31.4,13,1,5.829166666666666,11.1,42.125
2019,17,suzuka,20.82083333333333,19.7,21.5,90.08333333333331,134.4,23,1,34.275,57.2,92.125
2019,18,rodriguez,16.17083333333333,12.2,20.4,77.79166666666667,0.1,1,1,5.041666666666667,10.7,89.41666666666667
2019,19,americas,11.020833333333334,4.4,18.2,56.333333333333336,0.0,0,0,9.75,15.1,27.041666666666668
2019,20,interlagos,17.004166666666666,14.6,19.5,83.66666666666667,0.5,4,1,13.3125,19.2,42.875
2019,21,yas_marina,23.120833333333326,17.9,27.2,71.33333333333333,0.0,0,0,10.3125,21.0,9.583333333333334
2020,1,red_bull_ring,17.395833333333332,9.8,23.0,66.41666666666667,0.0,0,0,4.908333333333333,9.5,37.458333333333336
2020,2,red_bull_ring,15.7875,12.2,19.9,94.75,36.5,17,1,3.395833333333333,12.0,77.20833333333333
2020,3,hungaroring,17.408333333333335,14.5,21.3,78.0,6.7,18,1,5.2,10.0,85.20833333333333
2020,4,silverstone,18.9375,14.5,22.4,69.5,1.9,8,1,16.96666666666667,21.1,62.583333333333336
2020,5,silverstone,22.09166666666667,17.3,27.2,68.08333333333333,0.0,0,0,16.708333333333332,22.5,51.5
2020,6,catalunya,25.25,21.1,30.2,72.70833333333333,0.2,1,1,8.595833333333333,17.7,15.625
2020,7,spa,13.387500000000005,11.0,16.6,81.33333333333333,1.7000000000000002,11,1,13.004166666666668,20.0,49.125
2020,8,monza,21.2625,15.8,26.8,79.25,0.0,0,0,5.1125,8.7,4.291666666666667
2020,9,mugello,23.6,19.1,28.5,55.333333333333336,0.0,0,0,12.3375,16.8,0.9166666666666666
2020,10,sochi,22.84583333333333,19.6,26.2,67.75,0.2,1,1,4.370833333333334,11.8,41.04166666666666
2020,11,nurburgring,6.866666666666667,5.0,8.7,77.0,0.1,1,1,16.066666666666666,21.2,66.75
2020,12,portimao,14.729166666666666,11.0,19.5,76.0,0.0,0,0,7.491666666666666,13.4,9.958333333333334
2020,13,imola,13.416666666666666,9.6,17.9,85.66666666666667,0.0,0,0,5.716666666666666,8.9,37.25
2020,14,istanbul,11.775,10.8,12.8,85.875,2.3,12,1,12.633333333333336,14.5,81.375
2020,15,bahrain,24.78333333333333,21.8,28.7,61.0,0.0,0,0,15.5625,25.0,65.375
2020,16,bahrain,23.27916666666667,20.9,26.5,80.91666666666667,0.0,0,0,12.733333333333334,20.2,20.791666666666668
2020,17,yas_marina,22.166666666666668,20.1,24.6,56.91666666666666,0.0,0,0,13.116666666666664,21.5,33.625
2021,1,bahrain,28.95833333333333,23.0,38.8,41.458333333333336,0.0,0,0,20.566666666666663,32.2,0.0
2021,2,imola,8.079166666666667,3.0,12.9,61.708333333333336,0.0,0,0,8.116666666666667,15.8,70.54166666666667
2021,3,portimao,13.208333333333334,9.9,17.3,64.875,0.0,0,0,12.708333333333334,18.4,34.166666666666664
2021,4,catalunya,17.629166666666666,11.8,24.0,72.83333333333333,0.0,0,0,8.529166666666667,17.2,33.208333333333336
2021,5,monaco,16.391666666666666,14.9,18.2,85.25,0.6000000000000001,2,1,10.508333333333336,20.0,83.54166666666667
2021,6,baku,22.64583333333333,19.9,26.5,58.75,0.0,0,0,23.5375,32.1,7.875
2021,7,ricard,23.64583333333333,18.9,31.5,61.208333333333336,0.0,0,0,12.375,18.3,90.58333333333331
2021,8,red_bull_ring,18.84583333333333,12.0,26.4,65.79166666666667,0.0,0,0,3.75,12.1,41.5
2021,9,red_bull_ring,18.2125,10.2,25.5,63.16666666666666,0.1,1,1,5.091666666666667,13.0,49.625
2021,10,silverstone,20.504166666666663,14.4,25.7,71.83333333333333,0.0,0,0,8.225,12.8,6.041666666666667
2021,11,hungaroring,24.416666666666668,21.0,28.4,64.04166666666667,4.300000000000001,5,1,9.475,17.1,67.0
2021,12,spa,13.170833333333334,11.6,15.7,96.0,6.9,22,1,17.55416666666667,22.6,93.29166666666669
2021,13,zandvoort,15.883333333333333,13.1,19.3,80.66666666666667,0.0,0,0,16.204166666666666,20.6,27.08333333333333
2021,14,monza,23.266666666666666,19.3,27.8,54.208333333333336,0.3,2,1,6.029166666666666,12.6,48.04166666666666
2021,15,sochi,14.2125,11.1,16.6,79.58333333333333,59.6,16,1,11.824999999999998,29.7,79.95833333333333
2021,16,istanbul,16.391666666666666,15.2,18.9,88.45833333333333,6.1,17,1,16.0,18.4,80.58333333333333
2021,17,americas,23.79583333333333,21.0,27.6,83.20833333333333,0.2,2,1,15.545833333333334,21.1,54.04166666666666
2021,18,rodriguez,14.479166666666666,6.6,22.6,58.66666666666666,0.0,0,0,7.070833333333333,22.2,58.833333333333336
2021,19,interlagos,14.6875,11.9,18.4,80.125,0.2,2,1,18.279166666666665,26.2,38.375
2021,20,losail,23.54583333333333,18.0,27.3,66.125,0.0,0,0,10.520833333333332,18.5,6.0
2021,21,jeddah,25.85833333333333,20.2,31.5,68.66666666666667,0.0,0,0,9.204166666666667,20.4,0.0416666666666666
2021,22,yas_marina,23.55,19.8,26.6,60.75,0.0,0,0,9.304166666666664,16.6,25.83333333333333
2022,1,bahrain,18.141666666666666,14.2,22.9,52.04166666666666,0.0,0,0,23.48333333333333,32.6,0.0
2022,2,jeddah,22.225,16.7,28.3,54.25,0.0,0,0,29.33333333333333,40.3,0.0
2022,3,albert_park,20.104166666666668,15.1,26.0,72.04166666666667,0.4,3,1,11.333333333333334,21.3,45.5
2022,4,imola,14.508333333333336,9.6,20.3,74.0,0.4,3,1,10.770833333333334,18.4,84.70833333333333
2022,5,miami,25.566666666666663,22.4,32.2,78.5,16.9,10,1,12.641666666666666,22.2,45.29166666666666
2022,6,catalunya,24.816666666666663,17.3,32.9,41.91666666666666,0.0,0,0,9.720833333333331,18.4,81.66666666666667
2022,7,monaco,25.929166666666664,21.9,29.3,49.91666666666666,0.0,0,0,6.841666666666666,18.2,43.833333333333336
2022,8,baku,23.65833333333333,18.1,28.9,51.25,0.0,0,0,13.441666666666668,18.8,34.125
2022,9,villeneuve,12.529166666666669,10.3,16.9,70.29166666666667,8.8,10,1,20.97083333333333,28.9,92.25
2022,10,silverstone,13.966666666666669,10.6,17.5,80.58333333333333,2.4000000000000004,8,1,18.05,28.3,78.33333333333333
2022,11,red_bull_ring,15.3,8.7,20.5,63.583333333333336,0.0,0,0,7.170833333333334,12.7,73.41666666666667
2022,12,ricard,25.89583333333333,19.9,32.0,59.25,0.0,0,0,9.175,17.1,33.791666666666664
2022,13,hungaroring,22.27083333333333,19.9,25.0,71.20833333333333,4.0,8,1,12.275,21.1,86.45833333333333
2022,14,spa,15.725,14.1,17.2,85.20833333333333,0.0,0,0,11.729166666666666,14.5,98.79166666666669
2022,15,zandvoort,21.0375,15.9,26.7,45.833333333333336,0.0,0,0,15.516666666666666,21.8,42.16666666666666
2022,16,monza,20.1375,15.2,24.8,68.70833333333333,0.0,0,0,5.425,8.7,12.916666666666666
2022,17,marina_bay,26.42083333333333,24.1,28.4,88.45833333333333,16.299999999999997,10,1,5.1875,9.6,96.0
2022,18,suzuka,18.375,16.1,22.4,70.45833333333333,0.0,0,0,17.9375,23.5,86.375
2022,19,americas,23.379166666666663,17.8,30.0,63.91666666666666,0.0,0,0,25.766666666666666,31.6,32.541666666666664
2022,20,rodriguez,18.08333333333333,13.3,23.9,64.95833333333333,1.1,2,1,8.566666666666668,14.1,60.083333333333336
2022,21,interlagos,19.3625,17.2,23.5,88.0,2.0,7,1,13.116666666666667,21.7,76.41666666666667
2022,22,yas_marina,26.254166666666663,20.8,30.5,73.91666666666667,0.0,0,0,11.720833333333331,21.1,14.208333333333334
2023,1,bahrain,22.1875,15.3,29.9,49.79166666666666,0.0,0,0,7.529166666666666,16.7,0.0
2023,2,jeddah,26.28333333333333,21.9,31.1,49.833333333333336,0.0,0,0,14.979166666666666,27.2,83.29166666666667
2023,3,albert_park,13.283333333333331,11.6,15.6,69.33333333333333,1.0,6,1,14.6375,22.3,92.5
2023,4,baku,19.92083333333333,13.7,25.4,68.95833333333333,0.0,0,0,7.070833333333333,11.0,38.25
2023,5,miami,24.479166666666668,20.0,29.5,74.83333333333333,2.4000000000000004,5,1,11.8,20.2,32.5
2023,6,monaco,22.162500000000005,18.0,26.0,61.41666666666666,0.0,0,0,5.529166666666666,11.7,17.916666666666668
2023,7,catalunya,17.904166666666665,15.4,21.8,83.66666666666667,9.4,11,1,8.1,16.0,49.91666666666666
2023,8,villeneuve,15.708333333333334,13.9,16.9,92.70833333333331,14.6,24,1,15.4625,22.4,100.0
2023,9,red_bull_ring,17.05,15.3,19.5,87.66666666666667,7.6,17,1,2.9249999999999994,6.5,91.45833333333331
2023,10,silverstone,20.466666666666665,17.6,24.0,72.45833333333333,10.7,7,1,14.112500000000002,19.5,60.66666666666666
2023,11,hungaroring,21.558333333333334,16.1,26.3,66.58333333333333,0.1,1,1,10.529166666666669,19.6,64.08333333333333
2023,12,spa,17.170833333333334,15.1,20.4,88.70833333333333,21.5,19,1,13.166666666666666,22.6,90.125
2023,13,zandvoort,16.67083333333333,15.3,17.9,80.25,3.4,13,1,23.508333333333336,37.7,53.25
2023,14,monza,21.3125,15.6,26.5,73.5,0.0,0,0,4.941666666666666,8.2,29.666666666666668
2023,15,marina_bay,29.42083333333333,27.2,32.1,70.66666666666667,0.1,1,1,15.6125,19.6,71.54166666666667
2023,16,suzuka,23.4625,20.3,28.2,68.95833333333333,0.0,0,0,13.604166666666666,23.0,88.29166666666667
2023,17,losail,33.737500000000004,30.4,39.1,48.91666666666666,0.0,0,0,28.600000000000005,37.1,0.0
2023,18,americas,25.004166666666663,15.5,32.7,38.91666666666666,0.0,0,0,8.049999999999999,18.5,79.58333333333333
2023,19,rodriguez,17.8125,12.9,24.5,68.16666666666667,0.0,0,0,9.325,21.8,62.0
2023,20,interlagos,21.22083333333333,17.0,25.9,73.29166666666667,0.8,5,1,15.295833333333334,25.3,66.91666666666667
2023,21,vegas,14.891666666666667,10.9,21.2,62.91666666666666,0.0,0,0,7.891666666666667,22.2,4.541666666666667
2023,22,yas_marina,24.983333333333334,21.7,28.1,68.91666666666667,0.7,3,1,11.358333333333334,22.7,22.0
2024,1,bahrain,16.604166666666668,13.5,20.3,44.66666666666666,0.0,0,0,24.20833333333333,31.1,1.2916666666666667
2024,2,jeddah,23.370833333333334,18.5,28.8,66.875,0.0,0,0,18.491666666666664,30.9,0.875
2024,3,albert_park,15.6375,13.0,19.4,68.79166666666667,0.5,3,1,12.762499999999998,24.3,54.25
2024,4,suzuka,14.166666666666666,10.1,17.9,83.20833333333333,0.0,0,0,5.337500000000001,12.2,97.54166666666669
2024,5,shanghai,18.291666666666668,14.2,21.0,79.75,0.5,3,1,16.0,22.7,94.54166666666669
2024,6,miami,24.80416666666667,20.8,28.5,74.375,0.9000000000000001,5,1,12.466666666666669,18.5,28.5
2024,7,imola,18.075,12.2,23.6,68.25,0.0,0,0,8.179166666666667,14.1,12.583333333333334
2024,8,monaco,16.870833333333334,12.8,19.8,80.29166666666667,0.0,0,0,5.966666666666666,11.5,34.875
2024,9,villeneuve,17.375,14.5,21.2,78.66666666666667,3.6,11,1,18.84583333333333,25.4,87.29166666666667
2024,10,catalunya,19.8625,16.0,25.9,80.04166666666667,3.4000000000000004,6,1,7.591666666666666,18.3,51.04166666666666
2024,11,red_bull_ring,22.604166666666668,14.6,30.3,72.41666666666667,0.3,1,1,4.495833333333333,10.6,48.833333333333336
2024,12,silverstone,12.6875,10.6,15.1,77.91666666666667,15.4,15,1,17.45,27.4,73.33333333333333
2024,13,hungaroring,23.191666666666663,19.3,28.4,66.25,2.9000000000000004,4,1,7.900000000000001,13.8,95.0
2024,14,spa,17.279166666666665,15.2,19.8,92.66666666666669,13.2,17,1,7.412499999999999,14.7,97.75
2024,15,zandvoort,18.891666666666666,16.6,22.9,80.875,9.9,11,1,24.23333333333333,38.7,77.66666666666667
2024,16,monza,26.991666666666664,22.0,32.0,58.79166666666666,0.0,0,0,6.129166666666667,8.3,78.04166666666667
2024,17,baku,24.258333333333336,21.0,29.0,51.5,0.0,0,0,14.608333333333334,20.1,12.916666666666666
2024,18,marina_bay,27.6375,25.3,29.2,83.16666666666667,5.5,4,1,9.025,13.3,99.875
2024,19,americas,23.00833333333333,17.4,29.8,56.708333333333336,0.0,0,0,12.654166666666669,17.1,7.708333333333333
2024,20,rodriguez,15.129166666666668,11.1,21.5,70.375,0.3,3,1,9.545833333333334,20.1,67.91666666666667
2024,21,interlagos,20.991666666666667,17.4,27.4,85.625,6.6,7,1,8.9,20.7,99.875
2024,22,vegas,10.329166666666667,3.3,17.5,18.45833333333333,0.0,0,0,2.966666666666667,6.6,14.791666666666666
2024,23,losail,20.15833333333333,16.9,23.7,60.75,0.0,0,0,21.870833333333337,29.2,9.875
2024,24,yas_marina,24.7625,22.1,28.1,70.375,0.0,0,0,13.133333333333333,21.0,0.6666666666666666
2025,1,albert_park,27.104166666666668,16.8,36.8,47.708333333333336,0.0,0,0,5.8500000000000005,22.2,83.0
2025,2,shanghai,18.604166666666668,10.7,26.0,35.208333333333336,0.0,0,0,11.766666666666666,17.9,1.0
2025,3,suzuka,10.329166666666667,2.4,15.2,64.58333333333333,0.0,0,0,9.2,18.7,79.875
2025,4,bahrain,28.745833333333334,23.8,37.5,51.04166666666666,0.0,0,0,10.6625,19.1,3.4166666666666665
2025,5,jeddah,30.308333333333337,26.2,34.8,45.29166666666666,0.0,0,0,4.8,12.3,0.25
