season,round,race_name,session_type,session_name,session_id,driver_id,driver_code,driver_name,position,laps_completed,fastest_lap_rank,fastest_lap_time,average_lap_time,top_speed,session_timestamp,session_timezone,round_id,constructor_id,constructor_name,session_type_metadata
2025,3,Japanese Grand Prix,FP1,Practice One,session_oBd8NFLw,driver_1V17qcph,,Oscar Piastri,15,25,15.0,,,,2025-04-04T02:30:00Z,Asia/Tokyo,round_ACPPMICt,,,FP1
2025,3,Japanese Grand Prix,FP1,Practice One,session_oBd8NFLw,driver_XkmSOlgX,,Lance Stroll,16,25,16.0,,,,2025-04-04T02:30:00Z,Asia/Tokyo,round_ACPPMICt,,,FP1
2025,3,Japanese Grand Prix,FP1,Practice One,session_oBd8NFLw,driver_gADFaAX1,,Nico Hülkenberg,17,21,17.0,,,,2025-04-04T02:30:00Z,Asia/Tokyo,round_ACPPMICt,,,FP1
2025,3,Japanese Grand Prix,FP1,Practice One,session_oBd8NFLw,driver_19q67raM,,Oliver Bearman,18,17,18.0,,,,2025-04-04T02:30:00Z,Asia/Tokyo,round_ACPPMICt,,,FP1
2025,3,Japanese Grand Prix,FP1,Practice One,session_oBd8NFLw,driver_0GFvbLMc,,Esteban Ocon,19,21,19.0,,,,2025-04-04T02:30:00Z,Asia/Tokyo,round_ACPPMICt,,,FP1
2025,3,Japanese Grand Prix,FP1,Practice One,session_oBd8NFLw,driver_d1a4FipV,,Gabriel Bortoleto,20,26,20.0,,,,2025-04-04T02:30:00Z,Asia/Tokyo,round_ACPPMICt,,,FP1
2025,4,Bahrain Grand Prix,FP1,Practice One,session_NpNz3cLL,driver_BOyYHlVE,,Lando Norris,1,23,1.0,,,,2025-04-11T11:30:00Z,Asia/Bahrain,round_Ps0NYVtI,,,FP1
2025,4,Bahrain Grand Prix,FP1,Practice One,session_NpNz3cLL,driver_q7WdJenu,,Pierre Gasly,2,23,2.0,,,,2025-04-11T11:30:00Z,Asia/Bahrain,round_Ps0NYVtI,,,FP1
2025,4,Bahrain Grand Prix,FP1,Practice One,session_NpNz3cLL,driver_cAPSXDn9,,Lewis Hamilton,3,23,3.0,,,,2025-04-11T11:30:00Z,Asia/Bahrain,round_Ps0NYVtI,,,FP1
2025,4,Bahrain Grand Prix,FP1,Practice One,session_NpNz3cLL,driver_0Z9Cjb1U,,Alexander Albon,4,24,4.0,,,,2025-04-11T11:30:00Z,Asia/Bahrain,round_Ps0NYVtI,,,FP1
2025,4,Bahrain Grand Prix,FP1,Practice One,session_NpNz3cLL,driver_0GFvbLMc,,Esteban Ocon,5,19,5.0,,,,2025-04-11T11:30:00Z,Asia/Bahrain,round_Ps0NYVtI,,,FP1
2025,4,Bahrain Grand Prix,FP1,Practice One,session_NpNz3cLL,driver_gADFaAX1,,Nico Hülkenberg,6,24,6.0,,,,2025-04-11T11:30:00Z,Asia/Bahrain,round_Ps0NYVtI,,,FP1
2025,4,Bahrain Grand Prix,FP1,Practice One,session_NpNz3cLL,driver_g0a6B2Hm,,Jack Doohan,7,23,7.0,,,,2025-04-11T11:30:00Z,Asia/Bahrain,round_Ps0NYVtI,,,FP1
2025,4,Bahrain Grand Prix,FP1,Practice One,session_NpNz3cLL,driver_uLDLxCqO,,Liam Lawson,8,23,8.0,,,,2025-04-11T11:30:00Z,Asia/Bahrain,round_Ps0NYVtI,,,FP1
2025,4,Bahrain Grand Prix,FP1,Practice One,session_NpNz3cLL,driver_aEOevTUh,,Yuki Tsunoda,9,23,9.0,,,,2025-04-11T11:30:00Z,Asia/Bahrain,round_Ps0NYVtI,,,FP1
2025,4,Bahrain Grand Prix,FP1,Practice One,session_NpNz3cLL,driver_1V17qcph,,Oscar Piastri,10,25,10.0,,,,2025-04-11T11:30:00Z,Asia/Bahrain,round_Ps0NYVtI,,,FP1
2025,4,Bahrain Grand Prix,FP1,Practice One,session_NpNz3cLL,driver_d1a4FipV,,Gabriel Bortoleto,11,23,11.0,,,,2025-04-11T11:30:00Z,Asia/Bahrain,round_Ps0NYVtI,,,FP1
2025,4,Bahrain Grand Prix,FP1,Practice One,session_NpNz3cLL,driver_ZiErQgDm,,Isack Hadjar,12,22,12.0,,,,2025-04-11T11:30:00Z,Asia/Bahrain,round_Ps0NYVtI,,,FP1
2025,4,Bahrain Grand Prix,FP1,Practice One,session_NpNz3cLL,driver_AC0S2RTY,,Luke Browning,13,20,13.0,,,,2025-04-11T11:30:00Z,Asia/Bahrain,round_Ps0NYVtI,,,FP1
2025,4,Bahrain Grand Prix,FP1,Practice One,session_NpNz3cLL,driver_i13r3hWX,,Dino Beganovic,14,20,14.0,,,,2025-04-11T11:30:00Z,Asia/Bahrain,round_Ps0NYVtI,,,FP1
2025,4,Bahrain Grand Prix,FP1,Practice One,session_NpNz3cLL,driver_XkmSOlgX,,Lance Stroll,15,23,15.0,,,,2025-04-11T11:30:00Z,Asia/Bahrain,round_Ps0NYVtI,,,FP1
2025,4,Bahrain Grand Prix,FP1,Practice One,session_NpNz3cLL,driver_CXwSzr7u,,Felipe Drugovich,16,19,16.0,,,,2025-04-11T11:30:00Z,Asia/Bahrain,round_Ps0NYVtI,,,FP1
2025,4,Bahrain Grand Prix,FP1,Practice One,session_NpNz3cLL,driver_YfoAc0Ur,,Ryo Hirakawa,17,20,17.0,,,,2025-04-11T11:30:00Z,Asia/Bahrain,round_Ps0NYVtI,,,FP1
2025,4,Bahrain Grand Prix,FP1,Practice One,session_NpNz3cLL,driver_4yfsO7UM,,Frederik Vesti,18,26,18.0,,,,2025-04-11T11:30:00Z,Asia/Bahrain,round_Ps0NYVtI,,,FP1
2025,4,Bahrain Grand Prix,FP1,Practice One,session_NpNz3cLL,driver_X30mqEfT,,Ayumu Iwasa,19,20,19.0,,,,2025-04-11T11:30:00Z,Asia/Bahrain,round_Ps0NYVtI,,,FP1
